doi	text	study type	center
10.1101/2020.05.08.20095471	Treatment of COVID-19 Patients with Convalescent Plasma in Houston, Texas. Background: COVID-19 disease, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has spread globally, and no proven treatments are available. Convalescent plasma therapy has been used with varying degrees of success to treat severe microbial infections for more than 100 years. Methods: Patients (n=25) with severe and/or life-threatening COVID-19 disease were enrolled at the Houston Methodist hospitals from March 28 to April 14, 2020. Patients were transfused with convalescent plasma obtained from donors with confirmed SARS-CoV-2 infection and had been symptom free for 14 days. The primary study outcome was safety, and the secondary outcome was clinical status at day 14 post-transfusion. Clinical improvement was assessed based on a modified World Health Organization 6-point ordinal scale and laboratory parameters. Viral genome sequencing was performed on donor and recipient strains. Results: At baseline, all patients were receiving supportive care, including anti-inflammatory and anti-viral treatments, and all patients were on oxygen support. At day 7 post-transfusion with convalescent plasma, nine patients had at least a 1-point improvement in clinical scale, and seven of those were discharged. By day 14 post-transfusion, 19 (76%) patients had at least a 1-point improvement in clinical status and 11 were discharged. No adverse events as a result of plasma transfusion were observed. The whole genome sequencing data did not identify a strain genotype-disease severity correlation. Conclusions: The data indicate that administration of convalescent plasma is a safe treatment option for those with severe COVID-19 disease. Randomized, controlled trials are needed to determine its efficacy.	observational study	multicenter
10.1101/2020.04.02.20051565	Targeting the catecholamine-cytokine axis to prevent SARS-CoV-2 cytokine storm syndrome. The mortality of Coronavirus disease 2019 (COVID-19) appears to be driven by acute respiratory distress syndrome (ARDS) and a dysregulated immune response to SARS-CoV-2. Emerging evidence suggests that a subset of COVID-19 is characterized by the development of a cytokine storm syndrome (CSS), and interleukin (IL)-6 levels are predictors of COVID-19 severity and in-hospital mortality. Targeting hyper-inflammation in COVID-19 may be critical for reducing mortality. Catecholamines enhance inflammatory injury by augmenting the production of IL-6 and other cytokines through a self-amplifying feed-forward loop in immune cells that requires alpha-1 adrenergic receptor (1-AR) signaling. Prophylactic inhibition of catecholamine synthesis with the 1-AR antagonist prazosin reduced catecholamines and cytokine responses in mice, and resulted in markedly increased survival following various hyper-inflammatory stimuli. These findings offer a rationale for studying 1-AR antagonists in the prophylaxis of patients with COVID-19-CSS and ARDS. As high infection rates threaten to overwhelm hospital capacity during this pandemic, preventative approaches that ameliorate COVID-19 severity and reduce excessive mortality are desperately needed. We hypothesize that treatment with prazosin of individuals who test positive for SARS-CoV-2 could reduce catecholamine surges, secondary cytokine dysregulation, and mortality. To investigate a potential role for 1-AR antagonists in preventing poor outcomes in ARDS, we conducted a retrospective analysis of hospitalized patients diagnosed with ARDS. Using data from the Truven Health MarketScan Research Database (2010-2017), we identified 13,125 men (age 45-64) with ARDS, of whom 655 patients (5.0%) were prescribed 1-AR antagonists in the previous year. Applying logistic regression models, we found that patients with prior use of 1-AR antagonists had lower odds of invasive mechanical ventilation compared to non-users (adjusted OR=0.75, 95% CI 0.59-0.95, p=0.019). Perhaps more importantly, those patients had a ~36% lower incidence of both being ventilated and dying in the hospital (adjusted OR=0.59, 95% CI 0.34-0.95, p=0.042). By contrast, prior use of beta-adrenergic receptor ({beta}-AR) antagonists was not correlated with either outcome. We extended these analyses to patients admitted with pneumonia. Of 108,956 subjects in this cohort, 5,498 patients (5.0%) were taking 1-AR antagonist. Similar to ARDS, patients with pneumonia on 1-AR antagonists (but no {beta}-AR antagonists) had a lower odds of mechanical ventilation (adjusted OR=0.83, 95% CI 0.75-0.92, p<0.001) and of both being ventilated and dying in the hospital (adjusted OR=0.77, 95% CI 0.62-0.94, p=0.014) compared to non-users. Mirroring findings from pre-clinical models, these data support a clinical rationale to study 1-AR antagonists in the prevention of severe complications of pneumonia, ARDS, and COVID-19. Prospective, randomized clinical trials of alpha-1 receptor antagonists (e.g. prazosin) administered prior to the onset of severe symptoms are needed to assess their efficacy in preventing CSS and reducing mortality in COVID-19.	observational study	multicenter
10.1101/2020.05.14.20094144	Sarilumab use in severe SARS-CoV-2 pneumonia. Importance: Interleukin-6 signal blockade has shown preliminary beneficial effects in treating aberrant host inflammatory response against SARS-CoV-2 leading to severe respiratory distress. Objective: to describe the effect of off-label intravenous use of Sarilumab in patients with severe SARS-CoV-2-related pneumonia. Design: Observational clinical cohort study. Setting: Fondazione Policlinico Universitario A. Gemelli IRCCS as Italian Covid reference center. Participants: Patients with laboratory-confirmed SARS-CoV-2 infection and respiratory distress with PaO2/FiO2 ratio<300 treated with Sarilumab between March 23rd - April 4th, 2020. Date of final follow-up was April 18, 2020. Main outcomes and measures: We describe the clinical outcomes of 53 patients with SARS-CoV-2 severe pneumonia treated with intravenous Sarilumab in terms of pulmonary function improvement or Intensive Care Unit (ICU) admission rate in medical wards setting and of live discharge rate in ICU treated patients as well as in terms of safety. Each patient received Sarilumab 400 mg administered intravenously on day 1, with eventual additional infusion based on clinical judgement, and was followed for at least 14 days, unless previously discharged or dead. No gluco-corticosteroids were used at baseline. Results: Of the 53 SARS-CoV-2pos patients receiving Sarilumab, 39 (73.6%) were treated in medical wards (66.7% with a single infusion) while 14 (26.4%) in ICU (92.6% with a second infusion). The median PaO2/FiO2 of patients in the Medical Ward was 146(IQR:120-212) while the median PaO2/FiO2 of patients in ICU was 112(IQR:100-141.5), respectively. Within the medical wards, 7(17.9%) required ICU admission, 4 of whom were re-admitted to the ward within 5-8 days. At 19 days median follow-up, 89.7% of medical inpatients significantly improved (46.1% after 24 hours, 61.5% after 3 days), 70.6% were discharged from the hospital and 85.7% no longer needed oxygen therapy. Within patients receiving Sarilumab in ICU, 64.2% were discharged from ICU to the ward and 35.8% were still alive at the last follow-up. Overall mortality rate was 5.7% after Sarilumab administration: 1(2.5%) patient died in the Medical Ward whilst 2(14.2%) patients died in ICU, respectively. Conclusions and relevance: IL6-R inhibition appears to be a potential treatment strategy for severe SARS-CoV-2 pneumonia and intravenous Sarilumab seems a promising treatment approach showing, in the short term, an important clinical benefit and good safety.	observational study	single center
10.1101/2020.07.01.20139857	Convalescent Plasma for COVID-19. A randomized clinical trial. Background After recovery from COVID-19, most patients have anti-SARS-CoV-2 neutralizing antibodies. Their convalescent plasma could be an inexpensive and widely available treatment for COVID-19. Methods The Convalescent-plasma-for-COVID (ConCOVID) study was a randomized trial comparing convalescent plasma with standard of care therapy in patients hospitalized for COVID-19 in the Netherlands. Patients were randomized 1:1 and received 300ml of plasma with anti-SARS-CoV-2 neutralizing antibody titers of at least 1:80. The primary endpoint was day-60 mortality and key secondary endpoints were hospital stay and WHO 8-point disease severity scale improvement on day 15. Results The trial was halted prematurely after 86 patients were enrolled. Although symptomatic for only 10 days (IQR 6-15) at the time of inclusion, 53 of 66 patients tested had anti-SARS-CoV-2 antibodies at baseline. A SARS-CoV-2 plaque reduction neutralization test showed neutralizing antibodies in 44 of the 56 (79%) patients tested with median titers comparable to the 115 donors (1:160 vs 1:160, p=0.40). These observations caused concerns about the potential benefit of convalescent plasma in the study population and after discussion with the data safety monitoring board, the study was discontinued. No difference in mortality (p=0.95), hospital stay (p=0.68) or day-15 disease severity (p=0.58) was observed between plasma treated patients and patients on standard of care. Conclusion Most COVID-19 patients already have high neutralizing antibody titers at hospital admission. Screening for antibodies and prioritizing convalescent plasma to risk groups with recent symptom onset will be key to identify patients that may benefit from convalescent plasma. Clinicaltrials.gov: NCT04342182	RCT	multicenter
10.1101/2020.06.19.20135830	Hospitalized COVID-19 patients treated with Convalescent Plasma in a mid-size city in the midwest. Background SARS-CoV-2 and its associated disease, COVID-19, has infected over seven million people world-wide, including two million people in the United States. While many people recover from the virus uneventfully, a subset of patients will require hospital admission, some with intensive care needs including intubation, and mechanical ventilation. To date there is no cure and no vaccine is available. Passive immunotherapy by the transfusion of convalescent plasma donated by COVID-19 recovered patients might be an effective option to combat the virus, especially if used early in the course of disease. Here we report our experience of using convalescent plasma at a tertiary care center in a mid-size, midwestern city that did not experience an overwhelming patient surge. Methods Hospitalized COVID-19 patients categorized as having Severe or Life-Threatening disease according to the Mayo Clinic Emergency Access Protocol were screened, consented, and treated with convalescent plasma collected from local donors recovered from COVID-19 infection. Clinical data and outcomes were collected retrospectively. Results 31 patients were treated, 16 severe patients and 15 life-threatened patients. Overall mortality was 27% (4/31) but only patients with life-threatening disease died. 94% of transfused patients with severe disease avoided escalation to ICU care and mechanical ventilation. 67% of patients with life-threatening disease were able to be extubated. Most transfused patients had a rapid decrease in their respiratory support requirements on or about day 7 following convalescent plasma transfusion. Conclusion Our results demonstrate that convalescent plasma is associated with reducing ventilatory requirements in patients with both severe and life-threatening disease, but appears to be most beneficial when administered early in the course of disease when patients meet the criteria for severe illness.	observational study	single center
10.1101/2020.07.14.20144469	Initial experience in Mexico with convalescent plasma in COVID-19 patients with severe respiratory failure, a retrospective case series. Introduction: Hospital mortality due to COVID-19 in Mexico is high (32%) and as of today, effective treatment options are limited. More effective treatments that shorten hospital stay and reduce mortality are needed. Initial reports for the use of convalescent plasma (CP) therapy for COVID-19 appear promising. We describe a case series of eight patients with impending respiratory failure, who underwent CP therapy. Methods: Six male and two female (ages 31 to 79) patients that were admitted to the intensive-care unit for severe COVID-19 were transfused with two doses of CP (250 mL per dose, anti-SARS-CoV-2 IgG titers > 1:100). Donors were six SARS-CoV-2 infected males who remained asymptomatic for > 7 days and were negative for two nasopharyngeal RT-PCR tests. Clinical characteristics, inflammatory and cellular injury markers, chest X-ray findings and viral loads were analyzed before and after CP administration. Viral load association to disease severity was further analyzed on a separate cohort of asymptomatic vs hospitalized patients with COVID-19. Results: Eight patients with respiratory failure were successfully discharged with a median length of stay of 22.5 (IQR 18.25-29.00). After CP therapy, we observed a reduction of C-reactive protein (CRP) (median, 22.80 mg/dL vs. 1.63 mg/dL), and of procalcitonin (median, 0.27 ng/mL vs. 0.13 ng/mL). High-Sensitivity Cardiac Troponin I (hs-cTnI), Brain Natriuretic Peptide (BNP) and Lactate Dehydrogenase (LDH) were lower, and a mild reduction of pulmonary infiltrates by chest X-ray was observed. Lastly, a reduction of viral load was after CP therapy was found. (log, median [IQR], 1.2 [0.70-2.20] vs. 0.25 [0.00-1.78]). We observed no adverse effects. Conclusions: CP could potentially be an effective therapeutic option for patients with severe COVID-19. Clinical benefit needs to be studied further through randomized controlled trials.	other	single center
10.1101/2020.06.24.20121905	The therapeutic effectiveness of Convalescent plasma therapy on treating COVID-19 patients residing in respiratory care units in hospitals in Baghdad, Iraq. Objectives: The current COVID-19 pandemic needs unconventional therapies to tackle the resulted high morbidity and mortality. Convalescent plasma is one of the therapeutic approaches that might be of benefit. Methods: Forty nine early-stage severe and critically-ill COVID-19 patients residing in RCU of three hospitals in Baghdad, Iraq were included, 21 received convalescent plasma while 28 did not receive, namely control group. Recovery or death, length of stay in hospital, and improvement in the clinical course of the disease were monitored clinically along with laboratory monitoring through SARS-CoV-2 RNA detection via PCR, and SARS-CoV-2 IgG and IgM serological monitoring. Results: Patients received convalescent plasma showed reduced duration of infection in about 4 days, and showed less death rate, 1/21 versus 8/28 in control group. In, addition, all of the patients received convalescent plasma showed high levels of SARS-CoV-2 IgG and IgM 3 days after plasma transfusion. Plasma from donors with high levels of SARS-CoV-2 IgG and donors with positive SRAS-CoV-2 IgM showed better therapeutic results than other donors. Conclusions: Convalescent plasma therapy is an effective mode of therapy if donors with high level of SARS-Cov2 antibodies are selected and if recipients were at their early stage of critical illness, being no more than 3 days in RCU.	RCT	single center
10.1101/2020.05.26.20113373	Mortality reduction in 46 severe Covid-19 patients treated with hyperimmune plasma. A proof of concept single arm multicenter interventional trial. BACKGROUND Hyperimmune plasma from Covid-19 convalescent is a potential treatment for severe Covid-19. METHODS We conducted a multicenter one arm proof of concept interventional study. Patients with Covid-19 disease with moderate-to-severe Acute Respiratory Distress Syndrome, elevated C-reactive Protein and need for mechanical ventilation and/or CPAP were enrolled. One to three 250-300 ml unit of hyperimmune plasma (neutralizing antibodies titer [&ge;]1:160) were administered. Primary outcome was 7-days hospital mortality. Secondary outcomes were PaO2/FiO2, laboratory and radiologic changes, as well as weaning from mechanical ventilation and safety. RESULTS The study observed 46 patients from March, 25 to April, 21 2020. Patients were aged 63, 61% male, 30 on CPAP and 7 intubated. PaO2/FiO2 was 128 (SD 47). Symptoms and ARDS duration were 14 (SD 7) and 6 days (SD 3). Three patients (6.5%) died within 7 days. The upper one-sided 90%CI was 13.9%, allowing to reject the null hypothesis of a 15% mortality. PaO2/FiO2 increased by 112 units (95%CI 82 to142) in survivors, the chest radiogram severity decreased in 23% (95%CI 5% to 42%); CRP, Ferritin and LDH decreased by 60, 36 and 20% respectively. Weaning from CPAP was obtained in 26/30 patients and 3/7 were extubated. Five serious adverse events occurred in 4 patients (2 likely, 2 possible treatment related). CONCLUSIONS Hyperimmune plasma in Covid-19 shows promising benefits, to be confirmed in a randomized controlled trial. This proof of concept study could open to future developments including hyperimmune plasma banking, development of standardized pharmaceutical products and monoclonal antibodies.	observational study	multicenter
10.1101/2020.06.08.20122143	Hydroxychloroquine inhibits trained immunity - implications for COVID-19. SARS-CoV-2 infection can cause severe disease for which currently no specific therapy is available. The use of hydroxychloroquine to prevent or treat SARS-CoV-2 infection is controversial and its mode of action poorly understood. We demonstrate that hydroxychloroquine inhibits trained immunity at the functional and epigenetic level and is accompanied by profound changes in the cellular lipidome as well as reduced expression of interferon-stimulated genes. Trained immunity comprises a functional adaptation induced by epigenetic reprogramming which facilitates the anti-viral innate immune response. Our findings therefore suggest that hydroxychloroquine may not have a beneficial effect on the anti-viral immune response to SARS-CoV-2.	observational study	single center
10.1101/2020.06.05.20123299	Early administration of lopinavir/ritonavir plus hydroxychloroquine does not alter the clinical course of SARS-CoV-2 infection: a retrospective cohort study.. Background The potential benefit of a combination therapy with lopinavir/ritonavir (LPV/r) and hydroxychloroquine (HCQ) on COVID-19 has been speculated. We explored the effect of the timing of LPV/r + HCQ initiation on the outcome of patients with COVID-19. Methods A retrospective cohort study was conducted on patients with COVID-19 who started treatment with LPV/r plus HCQ between February 21 and March 20, 2020, at Luigi Sacco Hospital in Milan, Italy. Over time cumulative incidence of clinical improvement was compared between patients who started treatment less than 5 days from the onset of symptoms [early treatment group (ET)] and those who initiated it later [delayed treatment group (DT)]. The association of LPV/r plus HCQ initiation timing on 30-day mortality was also assessed by univariate and multivariate logistic models. Results The study included 172 patients, prevalently males (72%) in their sixties, with a moderate (53.4%) or severe (34.9%) disease. Fourty-three (25%) patients were included in the ET group and and 129 (75%) in the DT group. Severity of disease did not significantly differ between the two groups. Conclusion Timing of LPV/r + HCQ initiation seems to have no impact on COVID-19 clinical course in terms of improvement and 30-day mortality. These findings rise doubts on the clincial efficacy of this regimen.	observational study	single center
10.1101/2020.06.16.20133066	Effect of hydroxychloroquine on SARS-CoV-2 viral load in patients with COVID-19. Background: Some studies have shown that hydroxychloroquine (HCQ) is an effective drug in reducing the in vitro replication of SARS-CoV-2. However, the in vivo effect of HCQ still unclear. This study aims to evaluate viral load clearance in patients with COVID-19 who underwent HCQ treatment in comparison with a control group that did not receive the drug. Methods: This prospective study comprised consecutive viral load measurements in patients with COVID-19 hospitalized with a moderate illness. Patients received 400 mg of HCQ every 12 hours for 10 days according to the medical decision. Nasal swab samples were collected at the 1st, 7th, and 14th days of the admission. Results: 155 samples were collected from 66 patients with COVID-19 (60% female), with a median age of 58 years. The viral load between studied groups, assumed as a semiquantitative measure of cycle threshold (Ct) values, presented no significant difference within the three consecutive measures ({Delta}Ct) (p>0.05). We also analyzed the {Delta}Ct viral load at different intervals of sample collection ({Delta}t <7; 7-12 and >12 days) without significant differences at any {Delta}Ct (p>0.05). Conclusion: In this study, we did not observe any change in viral load in vivo with the use of HCQ.	other	single center
10.1101/2020.06.16.20132597	"Hydroxychloroquine with or without azithromycin and in-hospital mortality or discharge in patients hospitalized for COVID-19 infection: a cohort study of 4,642 in-patients in France. Objective To assess the clinical effectiveness of oral hydroxychloroquine (HCQ) with or without azithromycin (AZI) in preventing death or leading to hospital discharge. Design Retrospective cohort study. Setting An analysis of data from electronic medical records and administrative claim data from the French Assistance Publique - Hopitaux de Paris (AP-HP) data warehouse, in 39 public hospitals, Ile-de-France, France. Participants All adult inpatients with at least one PCR-documented SARS-CoV-2 RNA from a nasopharyngeal sample between February 1st, 2020 and April 6th, 2020 were eligible for analysis. The study population was restricted to patients who did not receive COVID-19 treatments assessed in ongoing trials, including antivirals and immunosuppressive drugs. End of follow-up was defined as the date of death, discharge home, day 28 after admission, whichever occurred first, or administrative censoring on May 4, 2020. Intervention Patients were further classified into 3 groups: (i) receiving HCQ alone, (ii) receiving HCQ together with AZI, and (iii) receiving neither HCQ nor AZI. Exposure to a HCQ/AZI combination was defined as a simultaneous prescription of the 2 treatments (more or less one day). Main outcome measures The primary outcome was all-cause 28-day mortality as a time-to-event endpoint under a competing risks survival analysis framework. The secondary outcome was 28-day discharge home. Augmented inverse probability of treatment weighted (AIPTW) estimates of the average treatment effect (ATE) were computed to account for confounding. Results A total of 4,642 patients (mean age: 66.1 +/- 18; males: 2,738 (59%)) were included, of whom 623 (13.4%) received HCQ alone, 227 (5.9%) received HCQ plus AZI, and 3,792 (81.7%) neither drug. Patients receiving ""HCQ alone"" or ""HCQ plus AZI"" were more likely younger, males, current smokers and overall presented with slightly more co-morbidities (obesity, diabetes, any chronic pulmonary diseases, liver diseases), while no major difference was apparent in biological parameters. After accounting for confounding, no statistically significant difference was observed between the ""HCQ"" and ""Neither drug"" groups for 28-day mortality: AIPTW absolute difference in ATE was +1.24% (-5.63 to 8.12), ratio in ATE 1.05 (0.77 to 1.33). 28-day discharge rates were statistically significantly higher in the ""HCQ"" group: AIPTW absolute difference in ATE (+11.1% [3.30 to 18.9]), ratio in ATE (1.25 [1.07 to 1.42]). As for the ""HCQ+AZI"" vs neither drug, trends for significant differences and ratios in AIPTW ATE were found suggesting higher mortality rates in the former group (difference in ATE +9.83% [-0.51 to 20.17], ratio in ATE 1.40 [0.98 to 1.81];p=0.062). Conclusions Using a large non-selected population of inpatients hospitalized for COVID-19 infection in 39 hospitals in France and robust methodological approaches, we found no evidence for efficacy of HCQ or HCQ combined with AZI on 28-day mortality. Our results suggested a possible excess risk of mortality associated with HCQ combined with AZI, but not with HCQ alone. Significantly higher rates of discharge home were observed in patients treated by HCQ, a novel finding warranting further confirmation in replicative studies. Altogether, our findings further support the need to complete currently undergoing randomized clinical trials."	other	single center
10.1101/2020.06.19.20135475	Chloroquine, but not hydroxychlorquine, prolongs the QT interval in a primary care population. Background: Chloroquine (CQ) and Hydroxychloroquine (HCQ) have recently been suggested as treatment for the current Corona Virus Disease 2019 (COVID-19) pandemic. However, despite their long-term use and only few case reports on adverse effects, CQ and HCQ are listed as a known risk of the lethal ventricular arrhythmia Torsade de Pointes and their cardiac safety profile is being questioned. Thus, we aimed to investigate the electrocardiographic and mortality effects of CQ and HCQ in a primary care population. Methods: We used Danish health care registers and electrocardiograms (ECGs) from primary care to define three studies. 1) A paired study of subjects with ECGs before and during use of CQ/HCQ, 2) a matched ECG study of subjects taking CQ/HCQ compared to controls, and 3) a mortality study on people taking HCQ matched to control. In both matched studies, we adjusted for connective tissue diseases, use of QT-prolonging drugs, and cardiac disease. We used the QTc interval as the marker for electrocardiographic safety. In the mortality study, cases were followed from first claimed prescription until 300 days after estimated completion of the last prescription. 95% confidence intervals follow estimates in parenthesis. Results: Use of CQ was associated with a 5.5 (0.7;10) ms increase in QTc in the paired study (n=10). In the matched study (n=28, controls=280), QTc was insignificantly increased in subjects taking CQ by 4.7 (-3.4;13) ms. With a {Delta}QTc of 1.0 (-5.6;7.5), use of HCQ was not associated with an increased QTc in the paired study (n=32). In the matched study (n=172, controls=1,720), QTc also was not different between groups (p=0.5). In the mortality study (n=3,368), use of HCQ was associated with a hazard ratio of 0.67 (0.43;1.05). Conclusions: In subjects free of COVID-19, we found a small increase in QTc associated with use of chloroquine, but not hydroxychloroquine. We found no increased mortality associated with use of hydroxychloroquine.	observational study	multicenter
10.1101/2020.07.29.20164277	Corticosteroid Use in Severely Hypoxemic COVID-19 Patients: An Observational Cohort Analysis of Dosing Patterns and Outcomes in the Early Phase of the Pandemic. INTRODUCTION Hypoxemia in Severe Acute Respiratory Syndrome due to Novel Coronavirus of 2019 (SARS-CoV-2) is mediated by severe inflammation that may be mitigated by corticosteroids. We evaluated pattern and effects of corticosteroid use in these patients during an early surge of the pandemic. METHODS Observational study of 136 SARS-CoV-2 patients admitted to the Intensive care Unit between March 1 and April 27, 2020 at a tertiary care hospital in Indianapolis, USA. Statistical comparison between cohorts and dosing pattern analysis was done. Outcome measures included number of patients requiring intubation, duration of mechanical ventilation, length of ICU stay and inpatient mortality. RESULTS: Of 136 patients, 72 (53%) received corticosteroids. Groups demographics: Age (60.5 vs. 65; p .083), sex (47% male vs. 39% female; p .338) and comorbidities were similar. Corticosteroid group had increased severity of illness: PaO2/FiO2 (113 vs. 130; p .014) and SOFA (8 vs. 5.5; p < .001). Overall mortality (21% vs. 30%; p .234) or proportion of patients intubated (78 vs. 64%; p .078) was similar. Mortality was similar among mechanically ventilated (27% vs. 15%; p .151) however there were no deaths among patients who were not mechanically ventilated and received corticosteroids (0% vs. 57%; p <.001). Early administration (within 48 hours) showed decrease in proportion of intubation (66% vs. 87 vs. 100%; p.045), ICU days (6 vs., 16 vs. 18; p <.001), and ventilator days (3 vs. 12 & 14; p <.001). 45% received methylprednisolone. CONCLUSION: Corticosteroids were used more frequently in SARS CoV-2 patients with higher severity of illness. Early administration of corticosteroids improved survival in non-mechanically ventilated patients; decreased ICU stay and may have prevented intubation.	observational study	single center
10.1101/2020.07.29.20164160	Tocilizumab shortens time on mechanical ventilation and length of hospital stay in patients with severe COVID-19: a retrospective cohort study.. Background: Hyperinflammation is a key feature of the pathogenesis of COVID-19 with a central role of the interleukin-6 pathway. We aimed to study the impact of the IL-6 receptor antagonist tocilizumab on the outcome of patients admitted to the intensive care unit (ICU) with acute respiratory distress syndrome (ARDS) related to COVID-19. Methods: Eighty-seven patients with confirmed SARS-CoV-2 infection and moderate to severe ARDS were included (n tocilizumab = 29, n controls = 58). A matched cohort was created using a propensity score. The primary endpoint was 30-day all-cause mortality, secondary endpoints included ventilation-free days and length of stay. Results: No difference was found in 30-day all-cause mortality in patients treated with tocilizumab compared to controls (17.2% vs. 32.8%, p = 0.2; HR = 0.52 [0.19 - 1.39], p = 0.19). Ventilator-free days were 19.0 (IQR 12.5 - 20.0) versus 9 (IQR 0.0 - 18.5; p = 0.04), respectively. A higher rate of freedom from mechanical ventilation at 30 days was achieved in patients receiving tocilizumab (HR 2.83 [1.48 - 5.40], p < 0.002). Median length of stay in ICU and total length of stay were reduced by 8 and 9.5 days in patients treated with tocilizumab. Similar results were obtained in the analysis of the propensity score matched cohort. Conclusions: Treatment of critically ill patients with ARDS due to COVID-19 with tocilizumab was not associated with reduced 30-day all-cause mortality, but shorter duration on ventilatory support as well as shorter overall length of stay in hospital and in ICU.	observational study	single center
10.1101/2020.07.23.20160796	PLEXIT - Therapeutic plasma exchange (TPE) for Covid-19 cytokine release storm (CRS), a retrospective propensity matched control study. Importance: Cytokine release storm (CRS) plays pivotal role in pathophysiology and progression of COVID-19. Objective: To evaluate the outcomes of COVID-19 patients having CRS treated with Therapeutic Plasma Exchange (TPE) as compared to controls not receiving TPE. Design: Retrospective propensity score (PS) matched analysis, 1st April to 30th June 2020. Setting: Tertiary care hospital, single centre based. Participants: Using PS 1:1 matching, 90 patients were assigned 2 groups (45 receiving TPE and 45 controls). Forced matching and covariate matching was done to overcome bias between two groups. Main outcomes and measures: Primary outcome was 28 days overall survival. Secondary outcomes were duration of hospitalization, CRS resolution time and timing of PCR negativity. Results: Median age was 60 years (range 32-73 in TPE, 37-75 in non-TPE group), p= 0.325. Median symptoms duration 7 days (range 3-22 days TPE and 3-20 days non-TPE), p=0.266. Disease severity in both groups was 6.6% moderate, 44.4% severe and 49% critical. Twenty-eight-day survival was significantly superior in TPE group (91.1%) as compared to controls (61.5%), HR 0.21, 95% CI for HR 0.09-0.53, log rank 0.002. Median duration of hospitalization was significantly reduced in TPE treated group as compared to non-TPE controls 10 days and 15 days respectively (p< 0.01). CRS resolution time was also significantly reduced in TPE treated group (6 days vs. 12 days) (p< 0.001). Conclusion and Relevance: Use of TPE is associated with superior overall survival, early CRS resolution and time to discharge as compared to standard therapy for COVID-19 triggered CRS.	observational study	single center
10.1101/2020.07.20.20157503	COVIDOSE: Low-dose tocilizumab in the treatment of Covid-19. Background Interleukin-6 (IL-6)-mediated hyperinflammation may contribute to the high mortality of coronavirus disease 2019 (Covid-19). Tocilizumab, an IL-6 receptor blocking monoclonal antibody, has been repurposed for Covid-19, but prospective trials and dose-finding studies in Covid-19 are lacking. Methods We conducted a phase 2 trial of low-dose tocilizumab in hospitalized adult patients with Covid-19, radiographic pulmonary infiltrate, fever, and C-reactive protein (CRP) >= 40 mg/L who did not require mechanical ventilation. Dose cohorts were determined by a trial Operations Committee, stratified by CRP and epidemiologic risk factors. A range of doses from 40 to 200 mg (low-dose tocilizumab) was evaluated, with allowance for one repeat dose at 24-48 hours. The primary objective was to assess the relationship of dose to fever resolution and CRP response. Outcomes were compared with retrospective controls with Covid-19. Correlative studies evaluating host antibody response were performed in parallel. Findings A total of 32 patients received low-dose tocilizumab. This cohort had improved fever resolution (75.0% vs. 34.2%, p = 0.001) and CRP decline (86.2% vs. 14.3%, p < 0.001) in the 24-48 hours following drug administration, as compared to the retrospective controls (N=41). The probabilities of fever resolution or CRP decline did not appear to be dose-related in this small study (p=0.80 and p=0.10, respectively). Within the 28-day follow-up, 5 (15.6%) patients died. For patients who recovered, median time to clinical recovery was 3 days (IQR, 2-5). Clinically presumed and/or cultured bacterial superinfections were reported in 5 (15.6%) patients. Correlative biological studies demonstrated that tocilizumab-treated patients produced anti-SARS-CoV-2 antibodies comparable to controls. Interpretation Low-dose tocilizumab was associated with rapid improvement in clinical and laboratory measures of hyperinflammation in hospitalized patients with Covid-19. Results of this trial and its correlative biological studies provide rationale for a randomized, controlled trial of low-dose tocilizumab in Covid-19.	observational study	single center
10.1101/2020.07.20.20147769	Clinical Outcomes With the Use of Prophylactic Versus Therapeutic Anticoagulation in COVID-19. Background: This study is the first of its kind to assess the impact of preemptive therapeutic dose anticoagulation on mortality compared to prophylactic anticoagulation among COVID-19 patients. Its findings provide insight to clinicians regarding the management of COVID-19, particularly with the known prothrombotic state. Research Question: To determine the impact of anticoagulation on in-hospital mortality among COVID-19 positive patients with the a priori hypothesis that there would be a lower risk of in-hospital mortality with use of preemptive therapeutic over prophylactic dose enoxaparin or heparin. Study Design and Methods: Study Design: Retrospective cohort study from April 1 - April 25, 2020. The date of final follow-up was June 12, 2020. Setting: Two large, acute care hospitals in Western Connecticut. Participants: Five hundred and one inpatients were identified after discharge as 18 years or older and positive for SARS-CoV-2. The final sample size included 374 patients after applying exclusion criteria. Demographic variables were collected via hospital billing inquiries, while the clinical variables were abstracted from patients medical records. Exposure: Preemptive enoxaparin or heparin at a therapeutic or prophylactic dose. Main Outcome: In-hospital mortality. Results: When comparing preemptive therapeutic to prophylactic anticoagulation through multi-variable analysis, risk of in-hospital mortality was 2.3 times greater in patients receiving preemptive therapeutic anticoagulation (95% CI = 1.0, 4.9; p = 0.04). Interpretation: An increase in in-hospital mortality was observed with preemptive therapeutic anticoagulation. Thus, in the management of COVID-19 and its complications, we recommend further research and cautious use of preemptive therapeutic over prophylactic anticoagulation.	observational study	multicenter
